Date,Open,High,Low,Close,Adj Close,Volume
2021-07-20,140.000000,141.250000,137.100006,138.399994,138.399994,1506558
2021-07-22,139.649994,140.899994,135.250000,135.699997,135.699997,2478580
2021-07-23,134.000000,135.449997,131.850006,133.649994,133.649994,2317667
2021-07-26,133.050003,135.300003,132.100006,133.649994,133.649994,1599455
2021-07-27,133.649994,137.000000,132.300003,135.399994,135.399994,2056231
2021-07-28,134.750000,135.350006,131.550003,134.000000,134.000000,1898100
2021-07-29,135.000000,139.000000,134.550003,137.850006,137.850006,1543477
2021-07-30,139.100006,141.000000,138.550003,139.750000,139.750000,1397004
2021-08-02,142.000000,142.600006,139.800003,141.000000,141.000000,1655194
2021-08-03,141.750000,146.050003,141.649994,145.250000,145.250000,3151677
2021-08-04,145.949997,146.500000,140.000000,141.350006,141.350006,1598028
2021-08-05,140.899994,141.449997,138.750000,140.300003,140.300003,1334785
2021-08-06,140.800003,143.000000,139.850006,142.100006,142.100006,1242844
2021-08-09,142.100006,146.199997,140.399994,141.300003,141.300003,1978145
2021-08-10,141.000000,142.050003,133.800003,136.899994,136.899994,1504925
2021-08-11,137.800003,138.899994,133.100006,136.100006,136.100006,1036011
2021-08-12,137.000000,144.449997,137.000000,143.750000,143.750000,2481359
2021-08-13,144.750000,146.649994,141.699997,142.250000,142.250000,2594489
2021-08-16,141.850006,142.949997,139.600006,140.300003,140.300003,1776193
2021-08-17,140.199997,141.449997,137.000000,137.750000,137.750000,1880091
2021-08-18,137.750000,138.350006,135.149994,135.850006,135.850006,2797010
2021-08-20,134.149994,136.500000,132.250000,132.800003,132.800003,2233977
2021-08-23,136.000000,136.000000,129.800003,131.199997,131.199997,2380552
2021-08-24,131.250000,135.199997,129.149994,134.699997,134.699997,1458201
2021-08-25,135.550003,140.100006,135.550003,138.600006,138.600006,1612871
2021-08-26,138.600006,140.350006,137.399994,139.350006,139.350006,1506421
2021-08-27,139.350006,139.350006,136.050003,136.600006,136.600006,1159136
2021-08-30,138.000000,141.250000,138.000000,139.699997,139.699997,1018264
2021-08-31,139.899994,140.500000,135.500000,136.550003,136.550003,2899872
2021-09-01,136.550003,141.199997,135.500000,139.449997,139.449997,3276215
2021-09-02,140.149994,142.100006,139.149994,140.399994,140.399994,2024645
2021-09-03,141.149994,142.199997,139.600006,140.250000,140.250000,1906972
2021-09-06,141.000000,142.149994,138.300003,139.649994,139.649994,2750383
2021-09-07,140.000000,140.350006,138.050003,138.699997,138.699997,1942749
2021-09-08,138.600006,140.100006,137.500000,138.550003,138.550003,1930190
2021-09-09,137.500000,144.100006,137.500000,140.949997,140.949997,3819992
2021-09-13,141.399994,141.449997,139.399994,140.949997,140.949997,2687711
2021-09-14,141.500000,144.199997,141.500000,143.149994,143.149994,3208214
2021-09-15,143.899994,164.600006,143.600006,161.500000,161.500000,21130145
2021-09-16,161.500000,162.350006,154.050003,157.000000,157.000000,8909293
2021-09-17,157.000000,158.550003,145.199997,146.550003,146.550003,7912912
2021-09-20,145.000000,149.699997,142.300003,146.899994,146.899994,6341869
2021-09-21,146.750000,150.899994,143.600006,149.649994,149.649994,3624980
2021-09-22,150.000000,156.199997,148.750000,153.300003,153.300003,5088931
2021-09-23,154.500000,173.000000,154.500000,164.750000,164.750000,16327479
2021-09-24,167.250000,171.600006,160.199997,161.300003,161.300003,7077622
2021-09-27,162.050003,174.350006,162.050003,172.250000,172.250000,14461930
2021-09-28,172.750000,175.399994,167.500000,171.899994,171.899994,8418257
2021-09-29,170.550003,183.300003,169.100006,180.300003,180.300003,8856345
2021-09-30,181.000000,194.699997,180.100006,189.300003,189.300003,13855599
